2026-02-12 09:02:52.759 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:02:52.759 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 17 → HALT
2026-02-12 09:02:52.760 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:02:52.760 | ERROR    | __main__:main:159 - Data fetch error for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:02:52.760 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 18 → HALT
2026-02-12 09:02:52.761 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for ETHUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=ETHUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:02:52.765 | DEBUG    | aivc_trade.ops.persistence:save:29 - State saved → data/position_state.json
2026-02-12 09:08:10.603 | ERROR    | __main__:main:159 - Data fetch error for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
2026-02-12 09:08:10.604 | ERROR    | aivc_trade.strategy.risk:record_api_error:67 - API error streak = 19 → HALT
2026-02-12 09:08:10.604 | DEBUG    | aivc_trade.ops.notifier:send:26 - Notification (disabled): 🚨 Error | API error streak for BTCUSDC: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/klines?symbol=BTCUSDC&interval=1h&limit=250 (Caused by NameResolutionError("HTTPSConnection(host='api.binance.com', port=443): Failed to resolve 'api.binance.com' ([Errno -2] Name or service not known)"))
