run,n_trades,final_equity,total_return,sharpe,max_dd,profit_factor,win_rate,avg_pnl,regime_halts,phaseb_skips,phaseb_sizing_logs,size_mult_mean,size_mult_var,clip_rate_total,score_pnl_spearman,method,alpha,k,min_mult,max_mult,score
fine_linear,24,110536.13418661708,0.10536134186617084,1.5850982206666329,-0.07281934516405017,2.079861160483183,0.375,439.00559110904516,9,0,16,1.0083217816300658,5.800824687653927e-07,0.0,0.24303172770082207,linear_z,1.0,0.27,0.68,1.32,110691.00304142555
fine_linear,24,110536.13418661708,0.10536134186617084,1.5850982206666329,-0.07281934516405017,2.079861160483183,0.375,439.00559110904516,9,0,16,1.0083217816300658,5.800824687653927e-07,0.0,0.24303172770082207,linear_z,1.0,0.27,0.65,1.35,110691.00304142555
fine_linear,24,110536.13418661708,0.10536134186617084,1.5850982206666329,-0.07281934516405017,2.079861160483183,0.375,439.00559110904516,9,0,16,1.0083217816300658,5.800824687653927e-07,0.0,0.24303172770082207,linear_z,1.0,0.27,0.8,1.2,110691.00304142555
fine_linear,24,110532.31281600875,0.10532312816008751,1.5850408940696257,-0.07279791751383724,2.0797916448751064,0.375,438.8463673336987,9,0,16,1.008013567495619,5.379091205560457e-07,0.0,0.24303172770082207,linear_z,1.0,0.26,0.7,1.3,110687.17700954003
fine_linear,24,110532.31281600875,0.10532312816008751,1.5850408940696257,-0.07279791751383724,2.0797916448751064,0.375,438.8463673336987,9,0,16,1.008013567495619,5.379091205560457e-07,0.0,0.24303172770082207,linear_z,1.0,0.26,0.68,1.32,110687.17700954003
fine_linear,24,110532.31281600875,0.10532312816008751,1.5850408940696257,-0.07279791751383724,2.0797916448751064,0.375,438.8463673336987,9,0,16,1.008013567495619,5.379091205560457e-07,0.0,0.24303172770082207,linear_z,1.0,0.26,0.65,1.35,110687.17700954003
fine_linear,24,110532.31281600875,0.10532312816008751,1.5850408940696257,-0.07279791751383724,2.0797916448751064,0.375,438.8463673336987,9,0,16,1.008013567495619,5.379091205560457e-07,0.0,0.24303172770082207,linear_z,1.0,0.26,0.8,1.2,110687.17700954003
fine_linear,24,110528.49050489448,0.10528490504894478,1.5849817023521469,-0.07277650444518176,2.0797205915442887,0.375,438.687104370605,9,0,16,1.007705353361172,4.973272194489917e-07,0.0,0.24303172770082207,linear_z,1.0,0.25,0.7,1.3,110683.34984990743
fine_linear,24,110528.49050489448,0.10528490504894478,1.5849817023521469,-0.07277650444518176,2.0797205915442887,0.375,438.687104370605,9,0,16,1.007705353361172,4.973272194489917e-07,0.0,0.24303172770082207,linear_z,1.0,0.25,0.68,1.32,110683.34984990743
fine_linear,24,110528.49050489448,0.10528490504894478,1.5849817023521469,-0.07277650444518176,2.0797205915442887,0.375,438.687104370605,9,0,16,1.007705353361172,4.973272194489917e-07,0.0,0.24303172770082207,linear_z,1.0,0.25,0.65,1.35,110683.34984990743
fine_linear,24,110528.49050489448,0.10528490504894478,1.5849817023521469,-0.07277650444518176,2.0797205915442887,0.375,438.687104370605,9,0,16,1.007705353361172,4.973272194489917e-07,0.0,0.24303172770082207,linear_z,1.0,0.25,0.8,1.2,110683.34984990743
fine_linear,24,110524.7153726003,0.10524715372600302,1.5849287453831218,-0.07275492572930174,2.0796571059087903,0.375,438.5298071916779,9,0,16,1.0073971392267251,4.583367654442313e-07,0.0,0.24303172770082207,linear_z,1.0,0.24,0.7,1.3,110679.57050085215
fine_linear,24,110524.7153726003,0.10524715372600302,1.5849287453831218,-0.07275492572930174,2.0796571059087903,0.375,438.5298071916779,9,0,16,1.0073971392267251,4.583367654442313e-07,0.0,0.24303172770082207,linear_z,1.0,0.24,0.68,1.32,110679.57050085215
fine_linear,24,110524.7153726003,0.10524715372600302,1.5849287453831218,-0.07275492572930174,2.0796571059087903,0.375,438.5298071916779,9,0,16,1.0073971392267251,4.583367654442313e-07,0.0,0.24303172770082207,linear_z,1.0,0.24,0.65,1.35,110679.57050085215
fine_linear,24,110524.7153726003,0.10524715372600302,1.5849287453831218,-0.07275492572930174,2.0796571059087903,0.375,438.5298071916779,9,0,16,1.0073971392267251,4.583367654442313e-07,0.0,0.24303172770082207,linear_z,1.0,0.24,0.8,1.2,110679.57050085215
fine_linear,24,110520.88612855025,0.1052088612855025,1.5848693822213824,-0.07273351260532418,2.0795859099242913,0.375,438.37025535626,9,0,16,1.007088925092278,4.2093775854165515e-07,0.0,0.24303172770082207,linear_z,1.0,0.23,0.7,1.3,110675.73639114213
fine_linear,24,110520.88612855025,0.1052088612855025,1.5848693822213824,-0.07273351260532418,2.0795859099242913,0.375,438.37025535626,9,0,16,1.007088925092278,4.2093775854165515e-07,0.0,0.24303172770082207,linear_z,1.0,0.23,0.68,1.32,110675.73639114213
